prompt_id,modifier,model,cosine,cos_drop,pe_modified,pe_base,nli_delta,nli_drop,projection,proj_drop,consensus_dropped,disagree
openai_board_coup,effectively,chatgpt,0.465,True,0.004,0.001,0.003,False,-0.062,True,False,True
openai_board_coup,effectively,claude,0.48,True,0.909,0.033,0.875,False,-0.095,True,False,True
openai_board_coup,effectively,gemini,0.472,True,0.001,0.001,-0.0,False,-0.086,True,False,True
openai_board_coup,effectively,deepseek,0.466,True,0.001,0.001,0.001,False,-0.095,True,False,True
openai_board_coup,effectively,grok,0.441,True,0.002,0.018,-0.016,False,-0.047,True,False,True
openai_military_ban,quietly,chatgpt,0.452,True,0.0,0.002,-0.002,False,-0.038,True,False,True
openai_military_ban,quietly,claude,0.447,True,0.996,0.992,0.005,False,-0.013,True,False,True
openai_military_ban,quietly,gemini,0.451,True,0.004,0.002,0.002,False,-0.047,True,False,True
openai_military_ban,quietly,deepseek,0.416,True,0.009,0.004,0.005,False,-0.032,True,False,True
openai_military_ban,quietly,grok,0.401,True,0.0,0.001,-0.001,False,-0.047,True,False,True
openai_military_ban,subsequently,chatgpt,0.449,True,0.002,0.996,-0.994,True,-0.111,True,True,False
openai_military_ban,subsequently,claude,0.442,True,0.706,0.995,-0.289,True,-0.094,True,True,False
openai_military_ban,subsequently,gemini,0.439,True,0.0,0.002,-0.002,False,-0.128,True,False,True
openai_military_ban,subsequently,deepseek,0.421,True,0.0,0.004,-0.003,False,-0.082,True,False,True
openai_military_ban,subsequently,grok,0.396,True,0.0,0.002,-0.002,False,-0.091,True,False,True
google_gebru_firing,subsequently,chatgpt,0.433,True,0.0,0.0,-0.0,False,-0.128,True,False,True
google_gebru_firing,subsequently,claude,0.455,True,0.0,0.0,-0.0,False,-0.12,True,False,True
google_gebru_firing,subsequently,gemini,0.428,True,0.756,0.995,-0.239,False,-0.098,True,False,True
google_gebru_firing,subsequently,deepseek,0.471,True,0.001,0.856,-0.855,True,-0.107,True,True,False
google_gebru_firing,subsequently,grok,0.436,True,0.0,0.0,-0.0,False,-0.102,True,False,True
google_project_maven,subsequently,chatgpt,0.437,True,0.0,0.0,-0.0,False,-0.124,True,False,True
google_project_maven,subsequently,claude,0.438,True,0.0,0.0,-0.0,False,-0.138,True,False,True
google_project_maven,subsequently,gemini,0.427,True,0.0,0.0,-0.0,False,-0.135,True,False,True
google_project_maven,subsequently,deepseek,0.48,True,0.0,0.001,-0.001,False,-0.132,True,False,True
google_project_maven,subsequently,grok,0.433,True,0.0,0.0,-0.0,False,-0.116,True,False,True
google_dragonfly,secretly,chatgpt,0.547,True,0.001,0.0,0.001,False,0.128,False,False,True
google_dragonfly,secretly,claude,0.591,False,0.974,0.0,0.974,False,0.129,False,False,False
google_dragonfly,secretly,gemini,0.606,False,0.929,0.0,0.929,False,0.14,False,False,False
google_dragonfly,secretly,deepseek,0.596,False,0.225,0.0,0.225,False,0.09,True,False,True
google_dragonfly,secretly,grok,0.595,False,0.994,0.0,0.994,False,0.181,False,False,False
anthropic_safety_race,explicitly,chatgpt,0.388,True,0.0,0.871,-0.871,True,-0.042,True,True,False
anthropic_safety_race,explicitly,claude,0.488,True,0.001,0.057,-0.057,False,0.032,True,False,True
anthropic_safety_race,explicitly,gemini,0.44,True,0.003,0.003,0.0,False,-0.051,True,False,True
anthropic_safety_race,explicitly,deepseek,0.441,True,0.0,0.002,-0.002,False,0.014,True,False,True
anthropic_safety_race,explicitly,grok,0.399,True,0.0,0.984,-0.984,True,-0.044,True,True,False
twitter_value_destruction,simultaneously,chatgpt,0.434,True,0.0,0.0,-0.0,False,-0.11,True,False,True
twitter_value_destruction,simultaneously,claude,0.403,True,0.002,0.001,0.001,False,-0.121,True,False,True
twitter_value_destruction,simultaneously,gemini,0.433,True,0.0,0.0,0.0,False,-0.111,True,False,True
twitter_value_destruction,simultaneously,deepseek,0.435,True,0.0,0.0,-0.0,False,-0.108,True,False,True
twitter_value_destruction,simultaneously,grok,0.464,True,0.001,0.0,0.001,False,-0.129,True,False,True
