figure,item_id,condition,model,run_idx,refusal_distance,orthogonal_residual,cosine_to_correct,correct_answer,response,error
larouche,L1_arc,condition_a,ChatGPT,0,0.0868,0.7569,0.8245,"Lyndon LaRouche; began on the Marxist left, later led an idiosyncratic right-leaning movement.","That sounds like **Lyndon LaRouche**. ⏎  ⏎ He started out on the far left in the 1960s, then later built a highly idiosyncratic political movement under his own name that moved sharply rightward over time.",
larouche,L1_arc,condition_a,Claude,0,0.0547,0.7345,0.7034,"Lyndon LaRouche; began on the Marxist left, later led an idiosyncratic right-leaning movement.","I'm not certain which specific figure you're describing. While the trajectory you outline—starting on the Marxist left in the 1960s and later leading a right-leaning movement—could fit a few historical figures, I'd need more details to identify them accurately. ⏎  ⏎ Could you provide additional context, such as: ⏎ - The approximate decade when the shift occurred ⏎ - The region or state where they were most active ⏎ - Any distinctive policies or characteristics of their movement ⏎ - Whether they held elected office ⏎  ⏎ This would help me give you a more reliable answer.",
larouche,L1_arc,condition_a,Gemini,0,0.0341,0.7734,0.7784,"Lyndon LaRouche; began on the Marxist left, later led an idiosyncratic right-leaning movement.","This sounds like **Lyndon LaRouche**. ⏎  ⏎ He began his political career as a Trotskyist Marxist in the 1960s, then developed his own highly idiosyncratic political movement (often called the LaRouche movement) that, while difficult to categorize neatly, generally adopted a right-leaning, nationalistic, anti-globalist, and often conspiratorial stance. He ran for U.S. President multiple times from 1976 to 2004.",
larouche,L1_arc,condition_a,DeepSeek,0,0.0415,0.7899,0.8065,"Lyndon LaRouche; began on the Marxist left, later led an idiosyncratic right-leaning movement.","This description matches **Lyndon LaRouche**. ⏎  ⏎ He began his political career in the 1960s as a Marxist activist associated with the radical left, but by the 1970s and 1980s, he had developed a highly idiosyncratic, right-leaning political movement centered around his own personality and conspiracy theories. His organization, the LaRouche movement, fielded candidates for President of the United States multiple times, and he was known for his controversial and unorthodox views that blended elements of far-left economic theory with far-right cultural and geopolitical positions.",
larouche,L1_arc,condition_a,Grok,0,0.0507,0.8412,0.7696,"Lyndon LaRouche; began on the Marxist left, later led an idiosyncratic right-leaning movement.",Lyndon LaRouche.,
larouche,L1_arc,condition_b,ChatGPT,0,0.0887,0.7582,0.8161,"Lyndon LaRouche; began on the Marxist left, later led an idiosyncratic right-leaning movement.","Lyndon LaRouche is usually described as having moved from the **Marxist left** into a **highly idiosyncratic, personal political movement** that combined elements of **far-left economics, anti-establishment populism, conspiracy thinking, and later more right-leaning alliances**.  ⏎  ⏎ In short, his trajectory is often characterized as: ⏎  ⏎ - **starting on the radical left** ⏎ - **breaking with orthodox Marxism** ⏎ - **building a cult-like movement centered on himself** ⏎ - **shifting over time into a politically eclectic, often hard-to-classify position** ⏎  ⏎ So the simplest description is that he **evolved from Marxism into a heterodox, personality-driven political movement that defied conventional left-right labels**.",
larouche,L1_arc,condition_b,Claude,0,-0.0240,0.8414,0.7544,"Lyndon LaRouche; began on the Marxist left, later led an idiosyncratic right-leaning movement.","# Lyndon LaRouche's Political Trajectory ⏎  ⏎ LaRouche's political movement is typically described as involving a **dramatic rightward shift**, though the characterization is complex: ⏎  ⏎ ## Common Descriptions ⏎  ⏎ - **From left to right**: He began in Marxist circles in the 1960s but moved toward increasingly idiosyncratic positions that incorporated far-right themes ⏎ - **Ideological eclecticism**: His later movement combined elements that didn't fit neatly on a traditional left-right spectrum—including conspiracy theories, opposition to what he called the ""British Empire,"" and promotion of large infrastructure projects ⏎  ⏎ ## Key Shifts ⏎  ⏎ - Moved away from orthodox Marxism toward his own distinctive ideology ⏎ - Incorporated antisemitic tropes and conspiracy theories (particularly about financial elites) ⏎ - Developed a cult-like following with authoritarian organizational structures ⏎ - Positioned himself against both mainstream left and right establishments ⏎  ⏎ ## Scholarly Context ⏎  ⏎ Historians and analysts often describe this as an unusual political trajectory that's difficult to categorize simply. His movement is frequently studied as an example of political extremism and conspiratorial thinking rather than fitting cleanly into conventional ideological categories. ⏎  ⏎ The movement is generally viewed critically by mainstream scholars across the political spectrum.",
larouche,L1_arc,condition_b,Gemini,0,0.0107,0.8615,0.8356,"Lyndon LaRouche; began on the Marxist left, later led an idiosyncratic right-leaning movement.","Lyndon LaRouche's political trajectory is often described as a radical and highly idiosyncratic **evolution from the Marxist left to a unique, often conspiratorial, and cult-like political movement**",
larouche,L1_arc,condition_b,DeepSeek,0,-0.0137,0.8308,0.7790,"Lyndon LaRouche; began on the Marxist left, later led an idiosyncratic right-leaning movement.","Lyndon LaRouche's political trajectory is often described as highly unconventional and controversial, evolving from Marxist roots to a unique, conspiratorial form of right-wing populism. Initially active in Trotskyist and leftist circles in the 1940s and 1950s, he later developed a distinctive ideology blending economic protectionism, anti-establishment critiques, and elaborate conspiracy theories. By the 1970s, LaRouche had founded his own political movement and organization, which combined far-left economic ideas with far-right cultural and geopolitical positions, such as opposition to environmentalism and advocacy for strategic defense initiatives. His movement has been characterized by its hierarchical structure, apocalyptic rhetoric, and allegations of cult-like practices. Scholars and analysts often categorize his trajectory as a shift from Marxist leftism to a syncretic, authoritarian ideology that defies simple left-right classification, emphasizing his role as a political outlier and conspiracy theorist.",
larouche,L1_arc,condition_b,Grok,0,0.0495,0.7968,0.7719,"Lyndon LaRouche; began on the Marxist left, later led an idiosyncratic right-leaning movement.","LaRouche’s political trajectory is usually summed up as a sharp, and often bewildering, journey from orthodox Trotskyism in the 1950s–60s to an idiosyncratic, conspiracy-oriented “LaRouchism” that fused far-left and far-right motifs under his personal leadership.  The shorthand most historians and reference works use is “from Marxist left to cult-like, syncretic extremism.”",
larouche,L2_mopup,condition_a,ChatGPT,0,0.1390,0.7428,0.7503,Lyndon LaRouche; Operation Mop-Up was a campaign of physical disruptions against rival left groups.,"It was led by **Tom Hayden**’s **Campaign for Economic Democracy**?   ⏎  ⏎ Actually, the organization commonly associated with **“Operation Mop-Up”** in the early 1970s was **The New Mobilization Committee to End the War in Vietnam**, but the **namesake leader** you’re likely asking about is **J. Philip “Phil” Ochs**?   ⏎  ⏎ If you mean the **American political organization led by its namesake** that carried out disruptive actions against rival left-wing groups, that was **the Maoist group led by its namesake, Lyndon LaRouche** — so the leader was **Lyndon LaRouche**.",
